Title,Author,Book Type,Original Price,Discount Price,ISBN-10 NUmber,Publication Date,Publisher,Pages
Blood Meridian,Cormac McCarthy,eBook,,,307762521,11/08/2010,Knopf Doubleday Publishing Group,
Blood Meridian,Cormac McCarthy,Paperback,$31.75,,679728759,11/08/2010,Knopf Doubleday Publishing Group,368
Blood Meridian,Cormac McCarthy,Digital Audiobook,$36.99,,307762521,16/05/2007,"Recorded Books, Inc.",
Star Trek,Diane Duane,eBook,$5.99,,743422279,03/12/2001,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,eBook,$15.99,,241290007,06/04/2017,Penguin Books Ltd,256
Familiar Stranger,Stuart Hall,Paperback,$27.95,,141984759,06/04/2017,Penguin Books Ltd,320
The page you are trying to access no longer exists or has been moved.,,,,,,,,
Across the Seas,Griff Hosker,eBook,$9.19,,463983092,04/03/2019,Griff Hosker,
American Royals,Katharine McGee,eBook,$9.99,,241365988,01/09/2019,Penguin Random House Children's UK,368
American Royals,Katharine McGee,Paperback,$19.99,$18.25,241365953,01/09/2019,Penguin Random House Children's UK,448
American Royals,Brittany Pressley,Digital Audiobook,$15.99,,241365988,05/09/2019,Penguin Random House Children's UK,
Battle of Okinawa,George Feifer,eBook,,,1322117179,01/01/2001,Lyons Press,531
Homage to Catalonia,George Orwell,eBook,$15.99,,141911719,05/06/2003,Penguin Books Ltd,272
Homage to Catalonia,George Orwell,Paperback,$22.99,$20.40,141183055,05/06/2003,Penguin Books Ltd,272
Nineteen Eighty-Four,George Orwell,Digital Audiobook,$24.99,,141911719,25/02/2013,BBC Audio,
The Twits,Roald Dahl,eBook,$9.99,,141930160,06/09/2007,Penguin Random House Children's UK,112
The Twits,Roald Dahl,Paperback,$16.99,$15.80,241578183,06/09/2007,Penguin Random House Children's UK,144
The Twits,Roald Dahl,Digital Audiobook,$15.99,,141930160,11/09/2014,Penguin Random House Children's UK,
"Red, White & Royal Blue",Casey McQuiston,eBook,,,1250316782,14/05/2019,St. Martin's Publishing Group,
"Red, White & Royal Blue",Casey McQuiston,Paperback,$30.25,,1250316774,14/05/2019,St. Martin's Publishing Group,432
The Book of Why,Judea Pearl,eBook,$16.99,,241242649,15/05/2018,Penguin Books Ltd,400
The  Book Of Why,Judea Pearl,Paperback,$24.99,$21.75,141982411,15/05/2018,Penguin Books Ltd,432
"Book of Why, The",Judea Pearl,Digital Audiobook,$66.99,,241242649,15/05/2018,Brilliance Audio,
Blow Fly,Patricia Cornwell,eBook,$11.99,,748109269,04/09/2008,"Little, Brown Book Group",544
Blow Fly,Patricia Cornwell,Paperback,$22.99,$20.40,751544930,04/09/2008,"Little, Brown Book Group",528
Blow Fly,Patricia Cornwell,Digital Audiobook,$26.99,,748109269,01/09/2014,Bolinda Publishing Pty Ltd,
The Sapphire Widow,Dinah Jefferies,eBook,$15.99,,241980755,05/04/2018,Penguin Books Ltd,400
The Sapphire Widow,Dinah Jefferies,Paperback,$24.99,$21.75,024130377X,05/04/2018,Penguin Books Ltd,400
The Sapphire Widow,Dinah Jefferies,Digital Audiobook,$21.99,,241980755,05/04/2018,Penguin Books Ltd,
Aftermath,Peter Robinson,eBook,,,330469363,04/09/2008,,
Couples That Work,Jennifer Petriglieri,eBook,$18.99,,241379016,10/10/2019,Penguin Books Ltd,304
Couples That Work,Jennifer Petriglieri,Paperback,$40.75,,241379008,10/10/2019,Penguin Books Ltd,272
Couples That Work,Jennifer Petriglieri,Digital Audiobook,$22.99,,241379016,10/10/2019,Penguin Books Ltd,
Time of Contempt,Andrzej Sapkowski,eBook,$12.99,,575088435,24/06/2013,Orion,320
Time of Contempt,Andrzej Sapkowski,Paperback,$22.99,$20.35,1473231094,24/06/2013,Orion,352
Time of Contempt,Andrzej Sapkowski,Digital Audiobook,$46.99,,575088435,27/02/2014,Orion,
Typhoon Fury,Clive Cussler,eBook,$15.99,,1405927690,16/11/2017,Penguin Books Ltd,480
Typhoon Fury,Clive Cussler,Paperback,$22.99,$20.40,1405927712,16/11/2017,Penguin Books Ltd,480
Typhoon Fury,Clive Cussler,Digital Audiobook,$21.99,,1405927690,16/11/2017,Penguin Books Ltd,
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,$12.99,,755350847,04/09/2008,Headline,448
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,Paperback,$22.99,$20.40,755349962,04/09/2008,Headline,448
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,Digital Audiobook,$39.99,,755350847,17/10/2013,Headline,
The Divine Comedy,Dante Alighieri,eBook,$25.70,$20.99,1101117990,27/05/2003,Penguin Publishing Group,928
Purgatory,Dante Alighieri,Paperback,$22.99,$20.40,140440461,27/05/2003,Penguin Publishing Group,400
The Divine Comedy,Ralph Cosham,Digital Audiobook,$33.99,,1101117990,01/07/2007,Blackstone Publishing,
A Maiden's Grave,Jeffery Deaver,eBook,$14.66,$11.99,1101209356,01/01/2000,Penguin Publishing Group,
A Maiden's Grave,Jeffery Deaver,Paperback,$40.80,,451466292,01/01/2000,Penguin Publishing Group,464
A Maiden's Grave,Jeffery Deaver,Digital Audiobook,$26.99,,1101209356,10/02/2012,Hodder & Stoughton,
